director_name,director_facebook_likes
Stephen Carpenter,12
James Fargo,109
Alain Resnais,752
Chao-Bin Su,2
Kenneth Lonergan,50
Bo Zenga,10
Danny Leiner,8
Christopher Cain,58
Theodore Melfi,51
Ed Decter,13
Gene Quintano,0
Eric Bress,19
Preston A. Whitmore II,17
Kirk Wong,6
Bronwen Hughes,15
John Lafia,5
Sam Miller,12
Alex Garland,232
Mark Brown,7
Michael Polish,35
Daisy von Scherler Mayer,18
Lenny Abrahamson,412
Bob Saget,799
John Waters,0
Craig Bolotin,7
Mark Christopher,15
Blair Hayes,2
Jez Butterworth,16
Olivier Assayas,107
Patrice Leconte,83
Paul Mazursky,150
Stephen Chbosky,139
Jon Hess,29
Joe Cornish,115
John H. Lee,32
John Stainton,0
Benedek Fliegauf,28
Paul Schrader,261
Stewart Hendler,10
John Cromwell,19
Mark Herman,39
Abel Ferrara,220
Ethan Maniquis,20
George Hickenlooper,60
Je-kyu Kang,16
William Dear,50
Stéphane Aubier,2
John Badham,139
Mike McCoy,16
Mike Judge,406
Tamra Davis,33
Nima Nourizadeh,166
Franklin J. Schaffner,76
John Erick Dowdle,66
David Moreau,0
Christopher Erskin,4
Brian Henson,53
Dan Cutforth,4
Josh Boone,131
Jake Schreier,14
Cheryl Dunye,17
Ernest R. Dickerson,226
Lionel C. Martin,3
Wallace Wolodarsky,32
Nicholas Jarecki,27
Dean Israelite,16
Darnell Martin,67
Scott Alexander,25
Stuart Gordon,216
Christopher Guest,378
Jane Campion,319
Fred Schepisi,40
Antonia Bird,61
Jon Poll,20
Paolo Sorrentino,667
Peter Care,0
Chan-wook Park,0
Ira Sachs,60
Carroll Ballard,19
Takeshi Kitano,0
Marco Kreuzpaintner,7
Lajos Koltai,45
Alan Rudolph,18
Chuan Lu,14
Lijun Sun,0
Takashi Yamazaki,7
Christopher Smith,76
Timothy Hines,0
David Winters,49
Akira Kurosawa,0
Jamie Thraves,2
Mabel Cheung,3
Dan Mazer,11
R.J. Cutler,15
David S. Ward,42
Rob Pritts,5
John Crowley,34
Brendan Malloy,2
Dustin Hoffman,0
Gregory Poirier,5
Simon Curtis,64
Dewey Nicks,4
Philip Saville,10
Tim Blake Nelson,596
William A. Graham,8
Martin Ritt,58
John Turturro,0
Agnieszka Holland,238
David Hackl,43
Giuliano Montaldo,4
Lisa Azuelos,15
Ray Lawrence,10
Karan Johar,160
Ruairi Robinson,7
Jaume Balagueró,57
Jon Kasdan,21
Léa Pool,4
Floyd Mutrux,11
Sajid Khan,0
Dean Wright,0
Eric Lartigau,7
Shintaro Shimosawa,29
Darren Lynn Bousman,163
James DeMonaco,65
Ken Annakin,19
Carol Reed,82
Chuck Sheetz,6
Marcus Raboy,7
Leigh Whannell,482
Michael Schultz,78
Peter Sollett,6
Bob Dolman,7
Greg Coolidge,27
David Lowery,38
Ciarán Foy,11
Salim Akil,70
Olatunde Osunsanmi,58
Leon Ichaso,5
Joseph Zito,17
Patricia Rozema,22
Rob Schmidt,36
Robert Ben Garant,134
Morgan Spurlock,293
Neal Brennan,23
Tuck Tucker,14
Theodore Witcher,28
Joel Edgerton,0
Jim Hanon,2
Michael Patrick Jann,31
Jorma Taccone,434
Jeff Lowell,4
Lorene Scafaria,63
Marcus Dunstan,87
Timothy Björklund,0
François Girard,63
Scott Kalvert,9
Jason Bateman,0
David Schwimmer,0
Allan Arkush,13
Eric Bross,49
Dan Fogelman,102
Jay Duplass,157
Luca Guadagnino,64
John Putch,60
Peter Medak,34
Terence Davies,25
Harley Cokeliss,4
Tom Brady,105
Jason Zada,4
Noah Baumbach,387
Eric Blakeney,3
Rakesh Roshan,53
Derrick Borte,17
Richard Kwietniowski,23
Bob Odenkirk,0
Joshua Seftel,0
Vincent Gallo,787
Claude Chabrol,324
Jon Stewart,593
Bigas Luna,163
Ralph Fiennes,0
Dan Harris,24
Mel Smith,302
Bobcat Goldthwait,800
Jake Scott,26
Alan Metter,3
Rafa Lara,21
Arthur Hiller,71
Michael Meredith,7
Julio DePietro,0
Katherine Dieckmann,8
Kim Farrant,93
Scott Marshall,7
Álex de la Iglesia,275
Andrew Traucki,10
Michael Clancy,0
Robert Adetuyi,8
Kari Skogland,13
Taedong Park,0
Benedikt Erlingsson,4
Gurinder Chadha,98
Jason Connery,110
Vic Sarin,24
Jim Issa,5
William Phillips,3
Andy Garcia,0
Sarik Andreasyan,9
Julian Gilbey,7
Gary Sherman,17
Valeri Milev,6
Stanley Kramer,176
Pedro Almodóvar,0
Gerald Potterton,0
Anurag Basu,116
Kriv Stenders,25
Yash Chopra,147
Floria Sigismondi,50
Ferzan Ozpetek,798
Kris Isacsson,0
Ben Younger,46
Daniel Taplitz,2
Tamara Jenkins,84
Linda Mendoza,17
Hart Bochner,157
Stewart Raffill,12
Hong-jin Na,43
Chatrichalerm Yukol,6
Dario Argento,930
Eric Lavaine,0
Marc Forby,3
Ole Christian Madsen,28
Meiert Avis,0
André Téchiné,25
Emily Young,6
Peter Faiman,4
Martyn Pick,4
Roland Suso Richter,3
Jeremy Sims,8
Maïwenn,236
Joby Harold,8
Ekachai Uekrongtham,3
Mark Rydell,43
David E. Talbert,68
Roger Vadim,35
Nils Gaup,8
Ari Sandel,17
Vondie Curtis-Hall,170
Tom Elkins,14
Woo-Suk Kang,0
John Sayles,407
Vipul Amrutlal Shah,11
Ken Loach,644
Ayan Mukerji,0
Mervyn LeRoy,54
Serdar Akar,11
James Frawley,21
Dan Gilroy,66
Jonathan Dayton,36
Chris Stokes,548
Don Siegel,152
Martin Lawrence,0
Masayuki Ochiai,5
Tom Gormican,19
Ken Shapiro,2
Justin Tipping,2
Peter R. Hunt,13
Doug Atchison,3
Jonas Elmer,3
Mary Harron,126
Erik Canuel,31
Troy Duffy,78
Nicole Holofcener,132
Matty Rich,10
Fina Torres,26
Duke Johnson,26
François Ozon,341
Anna Boden,16
Steve James,23
Michael Winner,136
Tomm Moore,45
John Carney,109
David Jacobson,12
Michael Corrente,30
Edward Hall,0
Keith Gordon,200
Andrew Currie,8
Andrew Wilson,387
Marc Schölermann,3
Robert Moresco,53
Thomas Vinterberg,346
Claudia Llosa,43
Charles Binamé,2
Keith Parmer,2
Ol Parker,21
James Nunn,16
David Webb Peoples,73
Michael Winnick,155
Stanley Tong,7
David Oelhoffen,2
Eli Roth,0
Tony Richardson,62
Charles Robert Carner,18
Russell Holt,0
Claude Miller,27
Sacha Bennett,22
Rodrigo García,127
Jeta Amata,20
Siddharth Anand,5
Vincent Paronnaud,10
Dennis Gansel,23
Daniel Barber,12
Robert Marcarelli,0
Ernie Barbarash,249
Guy Hamilton,82
Jonathan Liebesman,474
Adam Brooks,20
Michael Anderson,23
Don Kempf,0
Matt Bettinelli-Olpin,14
Sharron Miller,0
Aaron Schneider,11
Tom Ford,192
Tony Maylam,6
Mitch Davis,7
Kevin Brodie,0
Lynne Ramsay,159
John Stephenson,0
Tim Chambers,2
Dick Richards,6
Bob Gosse,10
Alex Zamm,43
Spencer Susser,58
Thaddeus O'Sullivan,5
Shari Springer Berman,30
Aleksey German,23
Stephen Milburn Anderson,0
Richard E. Grant,554
David Lam,4
Vladlen Barbe,0
Richard Rich,24
Robert C. Cooper,49
Kim Nguyen,16
Jackie Earle Haley,0
Max Färberböck,4
Arie Posin,3
Damian Nieman,0
Mark Tonderai,13
Ian Fitzgibbon,11
Rachel Perkins,3
Luis Valdez,7
Alan Alda,0
Louis Morneau,38
Caroline Link,11
Sterling Van Wagenen,0
Zal Batmanglij,129
Hans Petter Moland,19
Oren Moverman,38
Ian Sharp,9
Wolfgang Becker,31
Dan O'Bannon,228
George Roy Hill,131
Robert Stevenson,55
Jerome Robbins,34
Gary Hardwick,10
King Vidor,54
Fred Savage,0
Sammo Kam-Bo Hung,472
Rusty Cundieff,38
Dominique Othenin-Girard,2
Jean-Jacques Mantello,0
Risa Bramon Garcia,112
Brian Klugman,49
Matt Piedmont,4
Raymond De Felitta,20
John Michael McDonagh,51
Deb Hagan,0
Zach Cregger,138
Zach Braff,0
Mark Tarlov,3
John Cameron Mitchell,263
Jon Knautz,10
David Atkins,8
Patrick Stettner,5
Sam Peckinpah,541
Michael Crichton,735
Sylvio Tabet,0
Rick Bieber,11
Joey Lauren Adams,781
Fred Zinnemann,160
S.R. Bindler,0
Greg Marcks,9
Perry Lang,17
Jake Goldberger,2
William Kaufman,58
Cédric Klapisch,82
Kate Barker-Froyland,4
Martin Koolhoven,12
Charles Matthau,139
Christopher M. Bessette,0
Prachya Pinkaew,64
Gary Sinyor,0
Ashish R. Mohan,2
Darren Grant,0
Joseph Gordon-Levitt,23000
William Sachs,14
Christophe Barratier,25
Émile Gaudreault,9
James Cox,10
James Toback,56
Aki Kaurismäki,592
Hitoshi Matsumoto,17
Rakeysh Omprakash Mehra,85
Collin Schiffli,4
George Ratliff,3
Shane Meadows,222
Jon Wright,4
Michael McGowan,12
Liv Ullmann,440
Rohan Sippy,4
Dan Trachtenberg,16
David F. Sandberg,26
Stiles White,10
Eugenio Derbez,399
Henry Koster,28
Patty Jenkins,260
Christopher Landon,52
David Gelb,26
Mike Flanagan,59
Nat Faxon,214
George Jackson,0
George Miller,18
Maurice Joyce,0
Robert Duvall,3000
Frank Perry,24
Jesse Peretz,37
Ice Cube,0
Richard Glatzer,25
Michael Curtiz,345
Bruce Malmuth,6
Rob Hedden,6
Harmony Korine,520
Joe Chappelle,13
Mickey Liddell,7
Fred Walton,17
Steve Carver,8
Gonzalo López-Gallego,17
Christine Jeffs,19
Don Coscarelli,152
Michael Tiddes,89
Bill Duke,1000
Frank Borzage,57
Mamoru Hosoda,99
Brian Dannelly,12
Denys Arcand,66
J.S. Cardone,23
Jay Levey,3
Nicholaus Goossen,4
Ronan Chapalain,0
Xavier Beauvois,22
Randall Miller,19
Jerry Belson,3
Dan Rush,7
Michael Cuesta,52
Fenton Bailey,13
Jeremy Saulnier,57
Billy Kent,0
James Manera,0
Feroz Abbas Khan,0
Errol Morris,239
Dennis Hopper,0
Eli Craig,27
Nicholas Fackler,6
Richard Wallace,5
Morgan J. Freeman,204
Matthew Hastings,3
Klaus Menzel,34
Oren Peli,110
Paul Andrew Williams,46
Jim Amatulli,0
William H. Macy,0
Barrett Esposito,0
Vicky Jewson,3
Marc Bennett,3
Mike Mayhall,14
Stanton Barrett,20
Jirí Menzel,44
Fatih Akin,766
Nick Murphy,58
Frank LaLoggia,7
Jeremy Brock,16
Scott Foley,0
Christophe Ali,0
Gabriela Tagliavini,20
Shekar,0
Shona Auerbach,11
Leonard Farlinger,0
Michel Leclerc,3
Analeine Cal y Mayor,4
Tom Kalin,4
Robert Sarkies,0
John Huston,1000
Walter Lang,9
Carlos Saura,98
Andrew Erwin,10
Beto Gómez,5
Mike van Diem,4
Jonas Åkerlund,68
Todd Solondz,377
René Féret,0
Barry Skolnick,0
Johnnie To,143
Mateo Gil,3
Lukas Moodysson,187
Agnieszka Wojtowicz-Vosloo,0
Kabir Sadanand,0
Peter DeLuise,358
Raja Menon,6
Nick Love,63
R. Balki,12
Ivan Engler,0
Cecil B. DeMille,309
Henry Hobson,9
Mike Figgis,81
Duane Journey,2
Billy Wilder,0
Lisa Cholodenko,450
John Sturges,120
William Arntz,0
Ed Gass-Donnelly,8
DJ Pooh,69
James Melkonian,7
Roger Avary,675
Allison Anders,99
Rick de Oliveira,2
Jeff Franklin,24
Mike Mills,101
Dave McKean,21
Ron Fricke,330
Ruggero Deodato,101
Gavin Wiesen,19
Mora Stephens,5
Mars Callahan,60
Leos Carax,227
Stefan Schwartz,13
Robert Lee King,0
Jorge Ramírez Suárez,45
Dan Ireland,137
Fernando León de Aranoa,58
Jim Mickle,53
Karim Aïnouz,19
Sam Levinson,8
Aleksandr Veledinskiy,0
Peter H. Hunt,0
Ruba Nadda,55
Howard Hughes,177
Edward Burns,0
Sean Byrne,18
Mark Griffiths,4
Bruce Macdonald,103
Victor Fleming,149
Richard Raymond,10
Alan Jacobs,2
George Sidney,24
Christopher Morris,69
Andrucha Waddington,6
Peter Stebbings,89
Vincente Minnelli,136
Dagur Kári,29
Jim Abrahams,104
Kevin Carraway,2
Michael Gornick,10
Richard Brooks,174
Robert Eggers,22
Michael Martin,0
Gideon Raff,47
Louis C.K.,0
Anthony C. Ferrante,48
Salvador Carrasco,22
André Øvredal,12
Robert Cary,0
Adam Rapp,9
Warren P. Sonoda,28
Amanda Gusack,0
Avi Nesher,6
Charles Adelman,0
Jay Oliva,41
Charles Ferguson,117
Mark Young,14
Daniel Petrie Jr.,19
Antonio Simoncini,0
Luc Jacquet,10
Eldar Rapaport,0
Clark Gregg,0
Damien Chazelle,141
Justin Kerrigan,8
Nathan Frankowski,19
Karen Moncrieff,22
Jennifer Finnigan,246
Eric Styles,4
Laurent Cantet,39
John Ford,673
Max Mayer,6
Joshua Marston,13
John Gulager,38
Brandon Cronenberg,43
Frank Capra,964
Tod Williams,21
Jack Sholder,28
Ted Post,57
Kunihiko Yuyama,8
Tom McLoughlin,41
Adam Marcus,18
John Maclean,85
Benny Boom,23
Howard Hawks,393
Nnegest Likké,18
Christopher Leitch,4
Patricia Cardoso,15
Damien O'Donnell,70
Peter M. Cohen,0
Mel Stuart,21
Anthony Hickox,16
Tom Schulman,45
Jill Sprecher,11
Darren Stein,18
David Nixon,13
Jason Eisener,59
Enrique Begne,0
Matthew Bright,9
Michael Landon Jr.,84
Andrea Arnold,121
Whit Stillman,89
Leslye Headland,21
Bobby Roth,40
Tim Heidecker,78
Kate Connor,27
Deon Taylor,26
Jason Alexander,700
Conor McPherson,0
Will Canon,8
Philip Zlotorynski,0
Lance Kawas,66
Francesca Gregorini,15
Marcio Garcia,74
Craig Moss,19
Michael Jai White,2000
Paolo Monico,3
Youssef Delara,8
Darin Scott,39
Christian Sesma,9
Monte Hellman,96
Brian Caunter,0
Chris D'Arienzo,7
Isaac Florentine,81
Susan Seidelman,39
Heidi Ewing,4
Leon Ford,18
Hank Braxtan,6
John Carl Buechler,152
Rajkumar Hirani,124
Victor Nunez,9
Rohit Jugraj,2
Thorbjørn Christoffersen,0
Alex van Warmerdam,53
Pawel Pawlikowski,84
Frank Sebastiano,3
Stacy Peralta,147
Nacho Vigalondo,76
Hao Ning,0
Tony Giglio,6
Stanley Donen,134
Joe Cross,65
Dinesh D'Souza,67
Tommy Lee Wallace,24
Don Taylor,11
Leslie Small,15
Éric Tessier,0
Alison Maclean,7
Alice Wu,13
Sarah Gavron,34
Isabel Coixet,148
James Ponsoldt,53
Joshua Tickell,9
Tim Boxell,10
Michael D. Sellers,0
Reed Cowan,0
James Dodson,8
Alex Rivera,8
John Murlowski,20
Benni Diez,2
Danny Perez,0
Robby Henson,9
Zackary Adler,0
Dominic Burns,15
Carmen Marron,29
Jason Stone,14
Jerry Rees,115
Jaco Booyens,37
Danny Steinmann,13
Jon Gunn,16
Hayley Cloake,0
Tay Garnett,10
Shyam Madiraju,0
Harmage Singh Kalirai,11
Rita Merson,5
William Wyler,355
Larry Clark,184
Petter Næss,16
Robert Fontaine,7
Dan Perri,0
Neil Mcenery-West,0
Anthony O'Brien,7
Michael Herz,6
David Robert Mitchell,421
Robert Mulligan,89
Chia-Liang Liu,32
Chris Kentis,9
Alex Kendrick,589
Robert Rossen,31
Jack Conway,6
Sylvain Chomet,162
Chris Eyre,149
Elia Kazan,603
Debra Granik,81
Henry King,85
Miranda July,244
Max Joseph,31
Jim Jarmusch,0
Kevin Tenney,85
Ari Folman,56
Gary Rogers,0
Marielle Heller,22
David Sington,90
Kelly Reichardt,129
Bob Giraldi,34
Huck Botko,10
David Duchovny,0
Mitchell Lichtenstein,53
Lance Mungia,4
Kundan Shah,4
Hue Rhodes,0
Jugal Hansraj,32
Danny Provenzano,84
Bill Muir,19
Noah Buschel,8
Brian Yuzna,97
Hunter Richards,11
Laurie Collyer,38
Aaron Hann,0
Phil Claydon,6
Ralph Ziman,5
John Simpson,0
Colin Minihan,6
Conor McMahon,5
Chris Shadley,0
Simon Napier-Bell,0
Simon Yin,0
Jeff Crook,5
Orson Welles,0
Dave Payne,0
Brad Copeland,8
Paul Bunnell,5
Phil Morrison,17
Harald Reinl,2
Tanner Beard,531
Scott Dow,6
Derick Martini,20000
Jerry Dugan,3
Tim Hunter,28
Richard Ayoade,0
Jehane Noujaim,63
Pascal Arnold,0
Remo,168
John Laing,0
Jamal Hill,47
Daniel Stamm,13
Carlos Carrera,12
Benh Zeitlin,188
J. Lee Thompson,88
Maggie Greenwald,9
Vera Farmiga,0
Vijay Chandar,0
Jonathan Wacks,0
Khyentse Norbu,28
Tony Krantz,15
Mitchell Altieri,9
W.D. Hogan,4
Corey Grant,21
Lucky McKee,75
Richard Boddington,15
David Hunt,0
Steven R. Monroe,68
Mark Illsley,3
Ritesh Batra,25
Sally Potter,87
Brad J. Silverman,11
Dave Meyers,11
David M. Matthews,8
Nadine Labaki,0
Lluís Quílez,0
Eytan Fox,21
Romesh Sharma,0
François Truffaut,0
Adam Goldberg,1000
Travis Zariwny,4
Adrienne Shelly,191
Newt Arnold,15
Alex Cox,92
Fabián Bielinsky,44
Dror Moreh,4
Rebecca Miller,58
Maggie Carey,38
Henry Bean,21
Simeon Rice,6
Jeff Garlin,522
Qasim Basir,13
Adam Green,134
Charles Chaplin,0
Pete Jones,18
Bruce Campbell,0
Adam Carolla,102
Bruce McDonald,49
James Mottern,7
Jaime Zevallos,228
Gerard Johnstone,3
Robert Greenwald,21
David Ray,0
Dave Rodriguez,11
Nae Caranfil,34
David Winning,65
Frank Lotito,5
Timothy Woodward Jr.,764
Tara Subkoff,37
Russell Friedenberg,9
William Cottrell,0
Lucrecia Martel,33
Edward Dmytryk,74
Zak Penn,87
Alex Ranarivelo,20
Mathieu Amalric,412
David Worth,58
Leslie H. Martinson,7
Robert M. Young,0
Steve Buscemi,12000
Ham Tran,5
Rich Cowan,7
Boris Rodriguez,5
Sadyk Sher-Niyaz,135
Paul Donovan,4
Jonathan Kesselman,4
Arjun Sablok,0
Tyler Oliver,0
Douglas Cheek,4
Deryck Broom,11
Henry Hathaway,83
Giovanni Zelko,4
Claudia Sainte-Luce,0
Jamie Babbit,91
David Boyd,29
Anna Muylaert,9
Steve Taylor,14
Kurt Voss,0
James David Pasternak,0
Laurent Bouhnik,0
Tom Sanchez,0
David Caffrey,4
Adam Jay Epstein,0
Justin Thomas Ostensen,0
Brenton Spencer,0
Ossie Davis,282
Jay Alaimo,2
Dylan Bank,0
Rob McKittrick,6
Jeff Burr,155
Harry Gantz,0
Guy Maddin,126
Regardt van den Bergh,12
Panos Cosmatos,22
Gareth Evans,338
Matthew R. Anderson,252
Joe Marino,0
Joel Anderson,0
Shimit Amin,6
Douglas Trumbull,136
Mona Fastvold,2
Levan Gabriadze,6
Bradley Parker,18
Clive Barker,385
Harold Cronk,18
Takao Okawara,2
Duncan Tucker,2
Russ Meyer,199
Robert D. Webb,0
Allan Dwan,23
Andrew Steggall,0
Ben Lewin,20
Robert Kenner,11
Craig Johnson,7
Sean Durkin,46
Gillian Robespierre,9
Courtney Hunt,33
Morgan Neville,9
Chris Paine,2
Greg Berlanti,112
Marc Levin,12
Richard Dutcher,13
Khalid Mohamed,10
Finn Taylor,4
José Luis Valenzuela,0
Gia Coppola,71
Scandar Copti,13
Goran Dukic,21
Mike Cahill,135
Efram Potelle,2
Joshua Oppenheimer,50
Alex Gibney,141
Paul Crowder,10
Rohit Jagessar,0
Anthony Powell,9
Kief Davidson,0
Johnny Remo,74
Vivek Agnihotri,5
Ti West,243
Nick Tomnay,11
Nickolas Perry,5
Dan Zukovic,8
Becky Smith,32
Eric Nicholas,0
Benjamin Dickinson,4
Hal Haberman,0
A. Raven Cruz,0
Frank Whaley,436
Amat Escalante,50
Wajahat Rauf,3
Katherine Brooks,57
David Cross,0
Randall Rubin,0
Robert Bennett,15
Mary Pat Kelly,3
Lori Petty,923
Charlie Levi,0
Kevin Hamedani,23
David DeCoteau,142
Mikel Rueda,0
Stefan C. Schaefer,0
Michael Taliferro,105
Katie Aselton,224
Robert Heath,0
D. Stevens,6
Jeffrey St. Jules,0
Robert Hall,53
K. King,3
Jonathan Meyers,0
Ralph Nelson,17
Blair Erickson,0
Allison Burnett,12
Richard Schenkman,29
Sanjay Rawal,0
Kat Coiro,28
Cristian Mungiu,163
Brian Dorton,171
Maryam Keshavarz,32
Ramaa Mosley,6
C. Jay Cox,6
Mariette Monpierre,0
Tommy Oliver,66
Jamie Travis,15
Rich Christiano,14
Natalie Bible',8
Asghar Farhadi,0
Justin Molotnikov,5
Georg Wilhelm Pabst,21
Daniel Davila,0
Jorge Gaggero,0
Michael Burke,3
Catherine Jelski,0
Shane Dawson,247
Ryan Little,38
Clark Baker,0
Matt Maiellaro,8
Ben Wheatley,214
Oliver Blackburn,4
Christopher Hutson,3
David LaChapelle,30
Caryn Waechter,0
Emily Dell,0
Ryan Fleck,31
Jennifer Wynne Farmer,0
Christopher Scott Cherot,21
H.M. Coakley,0
Randy Moore,13
Chris Atkins,2
Bill Benenson,0
Ryan Smith,4
Travis Romero,4
Anna Mastro,7
Mark Sandrich,10
Daniel Myrick,19
Michael Wadleigh,14
Gene Teigland,0
Scott Ziehl,4
Richard Montoya,12
Johanna Schwartz,0
William Gazecki,3
Lance McDaniel,0
Thomas Lilti,12
Michael Walker,5
U. Roberto Romano,6
Amy Holden Jones,11
Blaz Zavrsnik,0
Pan Nalin,95
Joe Camp,24
Matt Walsh,490
John 'Bud' Cardos,8
Marilyn Agrelo,2
Brian Baugh,3
Patrick Creadon,3
Barry W. Blaustein,6
Kurt Hale,0
Siddiq Barmak,6
Joseph Dorman,0
Greg Harrison,7
Jacob Aaron Estes,9
Eric Schaeffer,71
Neema Barnette,21
Joe Swanberg,217
Molly Bernstein,0
Marius A. Markevicius,6
Tom DiCillo,32
Quentin Dupieux,248
Alex Smith,12
Gareth Edwards,380
Jonathan Parker,0
Sol Tryon,0
Alex Craig Mann,38
Stephen Kijak,3
Daston Kalili,2
Michael Hoffman Jr.,32
Patrick Gilles,0
Georgia Hilton,406
Jack Heller,0
Fernando Baez Mella,0
Warren Sheppard,0
Justin Paul Miller,0
Joel Paul Reisig,431
Catherine Gund,0
Luke Dye,0
Alec Asten,5
Hans Canosa,3
Lloyd Kaufman,365
Matthew Watts,0
Lloyd Bacon,24
Joe Kenemore,0
Kay Pollak,10
Eric England,15
Sue Corcoran,14
Jonathan Caouette,20
Ray Griggs,4
Matt Jackson,0
Lucio Fulci,385
Paul Fox,3
Ari Kirschenbaum,0
Cassandra Nicolaou,0
Ingmar Bergman,0
D.W. Griffith,204
Roger Nygard,3
Harry Beaumont,4
Franck Khalfoun,33
Mor Loushy,0
Henry Alex Rubin,30
Sam Firstenberg,44
Doug Block,0
Chad Kapper,0
Paul Fierlinger,3
Yorgos Lanthimos,252
Lauren Lazin,2
Gregory Widen,10
Niall Johnson,7
Eric Mendelsohn,5
Jean-Luc Godard,0
Florence Ayisi,0
Michael Roemer,0
Eddie O'Flaherty,3
Babar Ahmed,0
John D. Hancock,44
Paul Bartel,43
Bruce Dellis,0
Pece Dingo,0
Jerome Elston Scott,3
Étienne Faure,77
Herb Freed,5
Jack Perez,19
Craig Zobel,25
Ken Del Conte,2
Maria Maggenti,4
Piyush Dinker Pandya,0
Daniel Columbie,0
Emma-Kate Croghan,0
Bill Plympton,45
Drake Doremus,52
Al Franklin,0
Michael Kang,269
Lori Silverbush,5
Stuart Hazeldine,17
Hilary Brougher,0
Rachel Goldenberg,7
Corbin Bernsen,1000
Jamin Winans,63
Tom Seidman,3
Jason Naumann,2
Matt Cimber,32
Sam Martin,0
Andrew Hyatt,7
Kristin Rizzo,30
Ward Roberts,12
Zoran Lisinac,0
James O'Brien,7
Tom Putnam,15
Jon Shear,0
Al Silliman Jr.,0
Eugène Lourié,7
Lowell Sherman,16
Maurizio Benazzo,0
David G. Evans,0
Sherman Alexie,18
Justin Dillon,0
Stevan Mena,25
Livingston Oden,0
Chris Marker,121
Carl Theodor Dreyer,147
Marianna Palka,123
Ricki Stern,15
Nadia Tass,20
James Kerwin,0
C. Fraser Press,0
Rania Attieh,0
Sharon Greytak,0
Majid Majidi,373
Andrew Haigh,131
Cary Bell,0
Nicolae Constantin Tanase,0
Melvin Van Peebles,101
Ken Roht,0
Robinson Devor,14
Michel Orion Scott,0
Pat Holden,6
Eric Bugbee,0
Bill Melendez,36
Dena Seidel,0
Deborah Anderson,4
Sara Newens,0
Sai Varadan,0
Amal Al-Agroobi,58
Andrew Berends,0
Lynn Shelton,100
Valentine,0
David Hewlett,686
Nate Parker,664
Nathan Smith Jones,7
Travis Cluff,3
Harry F. Millarde,0
Robert Townsend,467
Jamaa Fanaka,9
Larry Blamire,56
Stephen Langford,7
E.L. Katz,3
Lisanne Pajot,0
Dan Reed,3
John Reinhardt,2
Patrick Ryan Sims,0
Laslo Benedek,6
Jason Miller,0
Sut Jhally,3
Julie Davis,12
Myles Berkowitz,0
Brett Piper,7
Brandon Trost,32
Joseph Green,2
Wade Gasque,0
Daniel Schechter,8
Matt Johnson,8
Bruno Barreto,9
Lena Dunham,969
Terron R. Parsons,9
Daniel Mellitz,0
Jem Cohen,6
Andrew Leman,2
Dave Carroll,0
William Eubank,18
Patrick Meaney,3
Chad Hartigan,3
Malcolm Goodwin,117
Kevin Jordan,4
Kirk Loudon,0
Travis Legge,138
Collin Joseph Neal,14
Bradley Rust Gray,2
Mike Bruce,6
Andrew Bujalski,26
Damir Catic,2
James Bidgood,0
Eric Eason,3
Joseph Mazzella,0
Marcus Nispel,158
Brandon Landers,8
Jim Chuchu,0
Daryl Wein,38
Jason Trost,91
Jafar Panahi,397
Ivan Kavanagh,18
Kiyoshi Kurosawa,62
Tadeo Garcia,5
Thomas L. Phillips,120
Ash Baron-Cohen,3
Shane Carruth,291
Neill Dela Llana,0
Anthony Vallone,2
Scott Smith,2
Benjamin Roberds,0
Daniel Hsia,0
